"id","true","output"
"2071","1:Antibodi","1:Antibodi"
"2072","5:Molecula","5:Molecula"
"2073","6:Pregnanc","6:Pregnanc"
"2074","6:Pregnanc","9:Risk-Fac"
"2075","4:In-Vitro","4:In-Vitro"
"2076","1:Antibodi","1:Antibodi"
"2077","8:Receptor","8:Receptor"
"2078","9:Risk-Fac","9:Risk-Fac"
"2079","4:In-Vitro","4:In-Vitro"
"2080","7:Prognosi","1:Antibodi"
"2081","10:Tomogra","10:Tomogra"
"2082","10:Tomogra","10:Tomogra"
"2083","1:Antibodi","8:Receptor"
"2084","9:Risk-Fac","9:Risk-Fac"
"2085","7:Prognosi","7:Prognosi"
"2086","8:Receptor","8:Receptor"
"2087","2:Carcinom","6:Pregnanc"
"2088","6:Pregnanc","6:Pregnanc"
"2089","5:Molecula","5:Molecula"
"2090","6:Pregnanc","6:Pregnanc"
"2091","8:Receptor","8:Receptor"
"2092","2:Carcinom","2:Carcinom"
"2093","6:Pregnanc","6:Pregnanc"
"2094","8:Receptor","3:DNA"
"2095","7:Prognosi","2:Carcinom"
"2096","6:Pregnanc","6:Pregnanc"
"2097","3:DNA","3:DNA"
"2098","9:Risk-Fac","9:Risk-Fac"
"2099","3:DNA","1:Antibodi"
"2100","6:Pregnanc","6:Pregnanc"
"2101","4:In-Vitro","4:In-Vitro"
"2102","4:In-Vitro","4:In-Vitro"
"2103","7:Prognosi","7:Prognosi"
"2104","2:Carcinom","2:Carcinom"
"2105","7:Prognosi","7:Prognosi"
"2106","1:Antibodi","3:DNA"
"2107","6:Pregnanc","6:Pregnanc"
"2108","7:Prognosi","7:Prognosi"
"2109","10:Tomogra","10:Tomogra"
"2110","1:Antibodi","1:Antibodi"
"2111","6:Pregnanc","6:Pregnanc"
"2112","10:Tomogra","10:Tomogra"
"2113","4:In-Vitro","4:In-Vitro"
"2114","9:Risk-Fac","9:Risk-Fac"
"2115","4:In-Vitro","4:In-Vitro"
"2116","9:Risk-Fac","6:Pregnanc"
"2117","4:In-Vitro","4:In-Vitro"
"2118","10:Tomogra","10:Tomogra"
"2119","10:Tomogra","10:Tomogra"
"2120","8:Receptor","8:Receptor"
"2121","3:DNA","3:DNA"
"2122","4:In-Vitro","4:In-Vitro"
"2123","6:Pregnanc","6:Pregnanc"
"2124","8:Receptor","8:Receptor"
"2125","2:Carcinom","2:Carcinom"
"2126","5:Molecula","5:Molecula"
"2127","6:Pregnanc","6:Pregnanc"
"2128","9:Risk-Fac","6:Pregnanc"
"2129","4:In-Vitro","8:Receptor"
"2130","8:Receptor","1:Antibodi"
"2131","1:Antibodi","10:Tomogra"
"2132","1:Antibodi","1:Antibodi"
"2133","3:DNA","3:DNA"
"2134","10:Tomogra","10:Tomogra"
"2135","6:Pregnanc","10:Tomogra"
"2136","9:Risk-Fac","9:Risk-Fac"
"2137","7:Prognosi","7:Prognosi"
"2138","3:DNA","3:DNA"
"2139","8:Receptor","1:Antibodi"
"2140","6:Pregnanc","6:Pregnanc"
"2141","7:Prognosi","10:Tomogra"
"2142","8:Receptor","8:Receptor"
"2143","1:Antibodi","1:Antibodi"
"2144","1:Antibodi","1:Antibodi"
"2145","7:Prognosi","6:Pregnanc"
"2146","1:Antibodi","1:Antibodi"
"2147","9:Risk-Fac","10:Tomogra"
"2148","6:Pregnanc","6:Pregnanc"
"2149","6:Pregnanc","6:Pregnanc"
"2150","5:Molecula","3:DNA"
"2151","8:Receptor","8:Receptor"
"2152","6:Pregnanc","6:Pregnanc"
"2153","8:Receptor","8:Receptor"
"2154","8:Receptor","8:Receptor"
"2155","1:Antibodi","3:DNA"
"2156","10:Tomogra","9:Risk-Fac"
"2157","5:Molecula","5:Molecula"
"2158","1:Antibodi","1:Antibodi"
"2159","9:Risk-Fac","9:Risk-Fac"
"2160","6:Pregnanc","6:Pregnanc"
"2161","6:Pregnanc","8:Receptor"
"2162","6:Pregnanc","6:Pregnanc"
"2163","3:DNA","3:DNA"
"2164","10:Tomogra","10:Tomogra"
"2165","9:Risk-Fac","9:Risk-Fac"
"2166","3:DNA","3:DNA"
"2167","6:Pregnanc","4:In-Vitro"
"2168","4:In-Vitro","6:Pregnanc"
"2169","6:Pregnanc","6:Pregnanc"
"2170","9:Risk-Fac","9:Risk-Fac"
"2171","3:DNA","3:DNA"
"2172","9:Risk-Fac","7:Prognosi"
"2173","1:Antibodi","1:Antibodi"
"2174","10:Tomogra","10:Tomogra"
"2175","8:Receptor","8:Receptor"
"2176","4:In-Vitro","4:In-Vitro"
"2177","4:In-Vitro","3:DNA"
"2178","9:Risk-Fac","9:Risk-Fac"
"2179","1:Antibodi","1:Antibodi"
"2180","6:Pregnanc","6:Pregnanc"
"2181","8:Receptor","8:Receptor"
"2182","10:Tomogra","10:Tomogra"
"2183","5:Molecula","5:Molecula"
"2184","10:Tomogra","10:Tomogra"
"2185","6:Pregnanc","8:Receptor"
"2186","6:Pregnanc","6:Pregnanc"
"2187","2:Carcinom","2:Carcinom"
"2188","3:DNA","3:DNA"
"2189","8:Receptor","8:Receptor"
"2190","4:In-Vitro","1:Antibodi"
"2191","3:DNA","8:Receptor"
"2192","5:Molecula","5:Molecula"
"2193","10:Tomogra","8:Receptor"
"2194","7:Prognosi","2:Carcinom"
"2195","8:Receptor","1:Antibodi"
"2196","5:Molecula","5:Molecula"
"2197","6:Pregnanc","6:Pregnanc"
"2198","4:In-Vitro","7:Prognosi"
"2199","5:Molecula","1:Antibodi"
"2200","10:Tomogra","10:Tomogra"
"2201","3:DNA","8:Receptor"
"2202","9:Risk-Fac","9:Risk-Fac"
"2203","8:Receptor","8:Receptor"
"2204","1:Antibodi","1:Antibodi"
"2205","5:Molecula","5:Molecula"
"2206","5:Molecula","3:DNA"
"2207","5:Molecula","5:Molecula"
"2208","4:In-Vitro","4:In-Vitro"
"2209","5:Molecula","5:Molecula"
"2210","5:Molecula","5:Molecula"
"2211","4:In-Vitro","4:In-Vitro"
"2212","4:In-Vitro","4:In-Vitro"
"2213","10:Tomogra","10:Tomogra"
"2214","3:DNA","1:Antibodi"
"2215","10:Tomogra","10:Tomogra"
"2216","3:DNA","4:In-Vitro"
"2217","4:In-Vitro","8:Receptor"
"2218","8:Receptor","8:Receptor"
"2219","9:Risk-Fac","10:Tomogra"
"2220","9:Risk-Fac","9:Risk-Fac"
"2221","8:Receptor","1:Antibodi"
"2222","8:Receptor","8:Receptor"
"2223","3:DNA","5:Molecula"
"2224","10:Tomogra","5:Molecula"
"2225","1:Antibodi","1:Antibodi"
"2226","10:Tomogra","10:Tomogra"
"2227","5:Molecula","5:Molecula"
"2228","10:Tomogra","9:Risk-Fac"
"2229","5:Molecula","5:Molecula"
"2230","5:Molecula","3:DNA"
"2231","1:Antibodi","1:Antibodi"
"2232","6:Pregnanc","6:Pregnanc"
"2233","7:Prognosi","2:Carcinom"
"2234","10:Tomogra","10:Tomogra"
"2235","3:DNA","8:Receptor"
"2236","6:Pregnanc","6:Pregnanc"
"2237","8:Receptor","8:Receptor"
"2238","7:Prognosi","7:Prognosi"
"2239","6:Pregnanc","6:Pregnanc"
"2240","3:DNA","3:DNA"
"2241","4:In-Vitro","8:Receptor"
"2242","6:Pregnanc","9:Risk-Fac"
"2243","4:In-Vitro","1:Antibodi"
"2244","10:Tomogra","10:Tomogra"
"2245","10:Tomogra","10:Tomogra"
"2246","4:In-Vitro","8:Receptor"
"2247","1:Antibodi","1:Antibodi"
"2248","2:Carcinom","9:Risk-Fac"
"2249","7:Prognosi","8:Receptor"
"2250","8:Receptor","8:Receptor"
"2251","7:Prognosi","2:Carcinom"
"2252","8:Receptor","8:Receptor"
"2253","9:Risk-Fac","10:Tomogra"
"2254","7:Prognosi","7:Prognosi"
"2255","6:Pregnanc","6:Pregnanc"
"2256","1:Antibodi","4:In-Vitro"
"2257","3:DNA","3:DNA"
"2258","10:Tomogra","10:Tomogra"
"2259","1:Antibodi","1:Antibodi"
"2260","8:Receptor","4:In-Vitro"
"2261","10:Tomogra","10:Tomogra"
"2262","4:In-Vitro","4:In-Vitro"
"2263","10:Tomogra","10:Tomogra"
"2264","4:In-Vitro","4:In-Vitro"
"2265","7:Prognosi","9:Risk-Fac"
"2266","8:Receptor","8:Receptor"
"2267","3:DNA","3:DNA"
"2268","2:Carcinom","2:Carcinom"
"2269","2:Carcinom","2:Carcinom"
"2270","4:In-Vitro","4:In-Vitro"
"2271","7:Prognosi","6:Pregnanc"
"2272","4:In-Vitro","8:Receptor"
"2273","4:In-Vitro","4:In-Vitro"
"2274","9:Risk-Fac","9:Risk-Fac"
"2275","4:In-Vitro","8:Receptor"
"2276","7:Prognosi","2:Carcinom"
"2277","10:Tomogra","10:Tomogra"
"2278","6:Pregnanc","6:Pregnanc"
"2279","9:Risk-Fac","6:Pregnanc"
"2280","6:Pregnanc","6:Pregnanc"
"2281","9:Risk-Fac","9:Risk-Fac"
"2282","1:Antibodi","9:Risk-Fac"
"2283","10:Tomogra","10:Tomogra"
"2284","6:Pregnanc","6:Pregnanc"
"2285","9:Risk-Fac","7:Prognosi"
"2286","10:Tomogra","10:Tomogra"
"2287","1:Antibodi","1:Antibodi"
"2288","6:Pregnanc","6:Pregnanc"
"2289","6:Pregnanc","6:Pregnanc"
"2290","7:Prognosi","9:Risk-Fac"
"2291","5:Molecula","5:Molecula"
"2292","6:Pregnanc","4:In-Vitro"
"2293","1:Antibodi","1:Antibodi"
"2294","1:Antibodi","9:Risk-Fac"
"2295","6:Pregnanc","4:In-Vitro"
"2296","10:Tomogra","10:Tomogra"
"2297","9:Risk-Fac","9:Risk-Fac"
"2298","9:Risk-Fac","10:Tomogra"
"2299","9:Risk-Fac","9:Risk-Fac"
"2300","9:Risk-Fac","7:Prognosi"
"2301","7:Prognosi","9:Risk-Fac"
"2302","6:Pregnanc","6:Pregnanc"
"2303","7:Prognosi","7:Prognosi"
"2304","6:Pregnanc","6:Pregnanc"
"2305","6:Pregnanc","10:Tomogra"
"2306","4:In-Vitro","4:In-Vitro"
"2307","3:DNA","1:Antibodi"
"2308","4:In-Vitro","1:Antibodi"
"2309","4:In-Vitro","4:In-Vitro"
"2310","10:Tomogra","10:Tomogra"
"2311","7:Prognosi","9:Risk-Fac"
"2312","2:Carcinom","10:Tomogra"
"2313","6:Pregnanc","6:Pregnanc"
"2314","3:DNA","8:Receptor"
"2315","10:Tomogra","9:Risk-Fac"
"2316","8:Receptor","8:Receptor"
"2317","10:Tomogra","10:Tomogra"
"2318","3:DNA","8:Receptor"
"2319","2:Carcinom","10:Tomogra"
"2320","9:Risk-Fac","7:Prognosi"
"2321","4:In-Vitro","4:In-Vitro"
"2322","4:In-Vitro","8:Receptor"
"2323","5:Molecula","3:DNA"
"2324","7:Prognosi","7:Prognosi"
"2325","2:Carcinom","3:DNA"
"2326","2:Carcinom","2:Carcinom"
"2327","3:DNA","3:DNA"
"2328","8:Receptor","5:Molecula"
"2329","10:Tomogra","10:Tomogra"
"2330","1:Antibodi","8:Receptor"
"2331","9:Risk-Fac","9:Risk-Fac"
"2332","4:In-Vitro","4:In-Vitro"
"2333","10:Tomogra","7:Prognosi"
"2334","9:Risk-Fac","6:Pregnanc"
"2335","10:Tomogra","7:Prognosi"
"2336","7:Prognosi","10:Tomogra"
"2337","9:Risk-Fac","9:Risk-Fac"
"2338","6:Pregnanc","6:Pregnanc"
"2339","9:Risk-Fac","9:Risk-Fac"
"2340","1:Antibodi","1:Antibodi"
"2341","6:Pregnanc","9:Risk-Fac"
"2342","3:DNA","1:Antibodi"
"2343","10:Tomogra","10:Tomogra"
"2344","2:Carcinom","7:Prognosi"
"2345","1:Antibodi","1:Antibodi"
"2346","6:Pregnanc","6:Pregnanc"
"2347","10:Tomogra","10:Tomogra"
"2348","6:Pregnanc","6:Pregnanc"
"2349","10:Tomogra","9:Risk-Fac"
"2350","10:Tomogra","10:Tomogra"
"2351","9:Risk-Fac","9:Risk-Fac"
"2352","8:Receptor","8:Receptor"
"2353","9:Risk-Fac","6:Pregnanc"
"2354","8:Receptor","1:Antibodi"
"2355","3:DNA","1:Antibodi"
"2356","2:Carcinom","2:Carcinom"
"2357","7:Prognosi","9:Risk-Fac"
"2358","3:DNA","2:Carcinom"
"2359","2:Carcinom","7:Prognosi"
"2360","9:Risk-Fac","9:Risk-Fac"
"2361","2:Carcinom","2:Carcinom"
"2362","5:Molecula","5:Molecula"
"2363","1:Antibodi","1:Antibodi"
"2364","10:Tomogra","10:Tomogra"
"2365","2:Carcinom","6:Pregnanc"
"2366","5:Molecula","5:Molecula"
"2367","1:Antibodi","3:DNA"
"2368","4:In-Vitro","8:Receptor"
"2369","1:Antibodi","1:Antibodi"
"2370","4:In-Vitro","4:In-Vitro"
"2371","10:Tomogra","10:Tomogra"
"2372","10:Tomogra","3:DNA"
"2373","2:Carcinom","10:Tomogra"
"2374","8:Receptor","8:Receptor"
"2375","5:Molecula","5:Molecula"
"2376","8:Receptor","8:Receptor"
"2377","7:Prognosi","7:Prognosi"
"2378","2:Carcinom","2:Carcinom"
"2379","1:Antibodi","6:Pregnanc"
"2380","8:Receptor","4:In-Vitro"
"2381","9:Risk-Fac","9:Risk-Fac"
"2382","8:Receptor","1:Antibodi"
"2383","7:Prognosi","10:Tomogra"
"2384","8:Receptor","8:Receptor"
"2385","10:Tomogra","10:Tomogra"
"2386","9:Risk-Fac","9:Risk-Fac"
"2387","10:Tomogra","10:Tomogra"
"2388","6:Pregnanc","6:Pregnanc"
"2389","9:Risk-Fac","9:Risk-Fac"
"2390","10:Tomogra","10:Tomogra"
"2391","7:Prognosi","7:Prognosi"
"2392","8:Receptor","8:Receptor"
"2393","5:Molecula","5:Molecula"
"2394","1:Antibodi","3:DNA"
"2395","9:Risk-Fac","9:Risk-Fac"
"2396","9:Risk-Fac","9:Risk-Fac"
"2397","2:Carcinom","9:Risk-Fac"
"2398","4:In-Vitro","3:DNA"
"2399","7:Prognosi","6:Pregnanc"
"2400","10:Tomogra","8:Receptor"
"2401","2:Carcinom","2:Carcinom"
"2402","3:DNA","5:Molecula"
"2403","3:DNA","5:Molecula"
"2404","4:In-Vitro","4:In-Vitro"
"2405","8:Receptor","4:In-Vitro"
"2406","1:Antibodi","1:Antibodi"
"2407","6:Pregnanc","7:Prognosi"
"2408","10:Tomogra","10:Tomogra"
"2409","6:Pregnanc","9:Risk-Fac"
"2410","9:Risk-Fac","9:Risk-Fac"
"2411","8:Receptor","1:Antibodi"
"2412","1:Antibodi","1:Antibodi"
"2413","5:Molecula","1:Antibodi"
"2414","1:Antibodi","5:Molecula"
"2415","2:Carcinom","2:Carcinom"
"2416","3:DNA","3:DNA"
"2417","2:Carcinom","10:Tomogra"
"2418","6:Pregnanc","6:Pregnanc"
"2419","1:Antibodi","1:Antibodi"
"2420","6:Pregnanc","6:Pregnanc"
"2421","2:Carcinom","2:Carcinom"
"2422","9:Risk-Fac","9:Risk-Fac"
"2423","7:Prognosi","10:Tomogra"
"2424","10:Tomogra","10:Tomogra"
"2425","8:Receptor","8:Receptor"
"2426","7:Prognosi","9:Risk-Fac"
"2427","6:Pregnanc","6:Pregnanc"
"2428","9:Risk-Fac","9:Risk-Fac"
"2429","1:Antibodi","9:Risk-Fac"
"2430","7:Prognosi","7:Prognosi"
"2431","10:Tomogra","5:Molecula"
"2432","1:Antibodi","5:Molecula"
"2433","5:Molecula","5:Molecula"
"2434","10:Tomogra","10:Tomogra"
"2435","2:Carcinom","9:Risk-Fac"
"2436","9:Risk-Fac","6:Pregnanc"
"2437","7:Prognosi","2:Carcinom"
"2438","8:Receptor","8:Receptor"
"2439","10:Tomogra","1:Antibodi"
"2440","4:In-Vitro","6:Pregnanc"
"2441","1:Antibodi","1:Antibodi"
"2442","7:Prognosi","7:Prognosi"
"2443","10:Tomogra","10:Tomogra"
"2444","6:Pregnanc","6:Pregnanc"
"2445","1:Antibodi","1:Antibodi"
"2446","7:Prognosi","10:Tomogra"
"2447","5:Molecula","1:Antibodi"
"2448","4:In-Vitro","5:Molecula"
"2449","5:Molecula","5:Molecula"
"2450","1:Antibodi","8:Receptor"
"2451","10:Tomogra","10:Tomogra"
"2452","7:Prognosi","2:Carcinom"
"2453","10:Tomogra","10:Tomogra"
"2454","4:In-Vitro","4:In-Vitro"
"2455","6:Pregnanc","6:Pregnanc"
"2456","7:Prognosi","2:Carcinom"
"2457","4:In-Vitro","8:Receptor"
"2458","1:Antibodi","1:Antibodi"
"2459","2:Carcinom","2:Carcinom"
"2460","3:DNA","3:DNA"
"2461","5:Molecula","5:Molecula"
"2462","3:DNA","3:DNA"
"2463","5:Molecula","5:Molecula"
"2464","3:DNA","7:Prognosi"
"2465","10:Tomogra","10:Tomogra"
"2466","7:Prognosi","9:Risk-Fac"
"2467","2:Carcinom","6:Pregnanc"
"2468","1:Antibodi","1:Antibodi"
"2469","7:Prognosi","7:Prognosi"
"2470","2:Carcinom","10:Tomogra"
"2471","8:Receptor","8:Receptor"
"2472","6:Pregnanc","6:Pregnanc"
"2473","8:Receptor","9:Risk-Fac"
"2474","7:Prognosi","7:Prognosi"
"2475","4:In-Vitro","8:Receptor"
"2476","8:Receptor","8:Receptor"
"2477","10:Tomogra","4:In-Vitro"
"2478","9:Risk-Fac","9:Risk-Fac"
"2479","6:Pregnanc","6:Pregnanc"
"2480","9:Risk-Fac","9:Risk-Fac"
"2481","2:Carcinom","2:Carcinom"
"2482","5:Molecula","3:DNA"
"2483","1:Antibodi","1:Antibodi"
"2484","1:Antibodi","1:Antibodi"
"2485","8:Receptor","1:Antibodi"
"2486","3:DNA","3:DNA"
"2487","9:Risk-Fac","9:Risk-Fac"
"2488","6:Pregnanc","6:Pregnanc"
"2489","7:Prognosi","6:Pregnanc"
"2490","10:Tomogra","9:Risk-Fac"
"2491","8:Receptor","8:Receptor"
"2492","9:Risk-Fac","7:Prognosi"
"2493","4:In-Vitro","4:In-Vitro"
"2494","7:Prognosi","10:Tomogra"
"2495","1:Antibodi","1:Antibodi"
"2496","3:DNA","5:Molecula"
"2497","8:Receptor","8:Receptor"
"2498","5:Molecula","5:Molecula"
"2499","3:DNA","3:DNA"
"2500","5:Molecula","5:Molecula"
"2501","2:Carcinom","2:Carcinom"
"2502","10:Tomogra","7:Prognosi"
"2503","8:Receptor","5:Molecula"
"2504","4:In-Vitro","4:In-Vitro"
"2505","4:In-Vitro","8:Receptor"
"2506","6:Pregnanc","6:Pregnanc"
"2507","9:Risk-Fac","10:Tomogra"
"2508","1:Antibodi","1:Antibodi"
"2509","7:Prognosi","9:Risk-Fac"
"2510","6:Pregnanc","10:Tomogra"
"2511","9:Risk-Fac","9:Risk-Fac"
"2512","2:Carcinom","2:Carcinom"
"2513","6:Pregnanc","6:Pregnanc"
"2514","6:Pregnanc","6:Pregnanc"
"2515","6:Pregnanc","3:DNA"
"2516","6:Pregnanc","6:Pregnanc"
"2517","6:Pregnanc","6:Pregnanc"
"2518","6:Pregnanc","8:Receptor"
"2519","4:In-Vitro","1:Antibodi"
"2520","1:Antibodi","4:In-Vitro"
"2521","6:Pregnanc","6:Pregnanc"
"2522","5:Molecula","8:Receptor"
"2523","3:DNA","3:DNA"
"2524","2:Carcinom","2:Carcinom"
"2525","6:Pregnanc","6:Pregnanc"
"2526","10:Tomogra","10:Tomogra"
"2527","9:Risk-Fac","1:Antibodi"
"2528","7:Prognosi","7:Prognosi"
"2529","1:Antibodi","9:Risk-Fac"
"2530","6:Pregnanc","6:Pregnanc"
"2531","5:Molecula","4:In-Vitro"
"2532","4:In-Vitro","8:Receptor"
"2533","2:Carcinom","10:Tomogra"
"2534","1:Antibodi","1:Antibodi"
"2535","4:In-Vitro","4:In-Vitro"
"2536","10:Tomogra","2:Carcinom"
"2537","10:Tomogra","2:Carcinom"
"2538","2:Carcinom","4:In-Vitro"
"2539","2:Carcinom","2:Carcinom"
"2540","4:In-Vitro","4:In-Vitro"
"2541","2:Carcinom","2:Carcinom"
"2542","10:Tomogra","7:Prognosi"
"2543","10:Tomogra","10:Tomogra"
"2544","6:Pregnanc","6:Pregnanc"
"2545","9:Risk-Fac","9:Risk-Fac"
"2546","3:DNA","4:In-Vitro"
"2547","2:Carcinom","2:Carcinom"
"2548","6:Pregnanc","10:Tomogra"
"2549","7:Prognosi","7:Prognosi"
"2550","4:In-Vitro","8:Receptor"
"2551","6:Pregnanc","6:Pregnanc"
"2552","7:Prognosi","7:Prognosi"
"2553","3:DNA","1:Antibodi"
"2554","6:Pregnanc","9:Risk-Fac"
"2555","3:DNA","4:In-Vitro"
"2556","9:Risk-Fac","9:Risk-Fac"
"2557","9:Risk-Fac","10:Tomogra"
"2558","1:Antibodi","5:Molecula"
"2559","7:Prognosi","2:Carcinom"
"2560","5:Molecula","5:Molecula"
"2561","7:Prognosi","2:Carcinom"
"2562","9:Risk-Fac","9:Risk-Fac"
"2563","8:Receptor","8:Receptor"
"2564","5:Molecula","5:Molecula"
"2565","1:Antibodi","6:Pregnanc"
"2566","9:Risk-Fac","7:Prognosi"
"2567","2:Carcinom","7:Prognosi"
"2568","9:Risk-Fac","9:Risk-Fac"
"2569","8:Receptor","8:Receptor"
"2570","9:Risk-Fac","9:Risk-Fac"
"2571","7:Prognosi","7:Prognosi"
"2572","6:Pregnanc","6:Pregnanc"
"2573","1:Antibodi","4:In-Vitro"
"2574","1:Antibodi","1:Antibodi"
"2575","9:Risk-Fac","9:Risk-Fac"
"2576","4:In-Vitro","4:In-Vitro"
"2577","9:Risk-Fac","9:Risk-Fac"
"2578","8:Receptor","8:Receptor"
"2579","6:Pregnanc","6:Pregnanc"
"2580","9:Risk-Fac","7:Prognosi"
"2581","6:Pregnanc","9:Risk-Fac"
"2582","5:Molecula","5:Molecula"
"2583","1:Antibodi","3:DNA"
"2584","6:Pregnanc","6:Pregnanc"
"2585","4:In-Vitro","4:In-Vitro"
"2586","2:Carcinom","2:Carcinom"
"2587","8:Receptor","3:DNA"
"2588","8:Receptor","4:In-Vitro"
"2589","8:Receptor","3:DNA"
"2590","10:Tomogra","10:Tomogra"
"2591","10:Tomogra","10:Tomogra"
"2592","8:Receptor","8:Receptor"
"2593","8:Receptor","8:Receptor"
"2594","10:Tomogra","10:Tomogra"
"2595","6:Pregnanc","6:Pregnanc"
"2596","10:Tomogra","10:Tomogra"
"2597","10:Tomogra","7:Prognosi"
"2598","5:Molecula","5:Molecula"
"2599","4:In-Vitro","1:Antibodi"
"2600","6:Pregnanc","6:Pregnanc"
"2601","6:Pregnanc","6:Pregnanc"
"2602","10:Tomogra","10:Tomogra"
"2603","10:Tomogra","9:Risk-Fac"
"2604","6:Pregnanc","6:Pregnanc"
"2605","6:Pregnanc","6:Pregnanc"
"2606","4:In-Vitro","8:Receptor"
"2607","8:Receptor","8:Receptor"
"2608","2:Carcinom","2:Carcinom"
"2609","9:Risk-Fac","9:Risk-Fac"
"2610","6:Pregnanc","6:Pregnanc"
"2611","9:Risk-Fac","7:Prognosi"
"2612","10:Tomogra","9:Risk-Fac"
"2613","1:Antibodi","7:Prognosi"
"2614","6:Pregnanc","4:In-Vitro"
"2615","4:In-Vitro","8:Receptor"
"2616","9:Risk-Fac","9:Risk-Fac"
"2617","9:Risk-Fac","10:Tomogra"
"2618","6:Pregnanc","9:Risk-Fac"
"2619","9:Risk-Fac","9:Risk-Fac"
"2620","10:Tomogra","7:Prognosi"
"2621","6:Pregnanc","6:Pregnanc"
"2622","8:Receptor","8:Receptor"
"2623","2:Carcinom","2:Carcinom"
"2624","3:DNA","4:In-Vitro"
"2625","6:Pregnanc","6:Pregnanc"
"2626","2:Carcinom","2:Carcinom"
"2627","10:Tomogra","10:Tomogra"
"2628","2:Carcinom","2:Carcinom"
"2629","5:Molecula","5:Molecula"
"2630","8:Receptor","8:Receptor"
"2631","9:Risk-Fac","3:DNA"
"2632","6:Pregnanc","6:Pregnanc"
"2633","6:Pregnanc","6:Pregnanc"
"2634","10:Tomogra","9:Risk-Fac"
"2635","2:Carcinom","2:Carcinom"
"2636","4:In-Vitro","4:In-Vitro"
"2637","8:Receptor","1:Antibodi"
"2638","2:Carcinom","2:Carcinom"
"2639","3:DNA","3:DNA"
"2640","1:Antibodi","1:Antibodi"
"2641","1:Antibodi","1:Antibodi"
"2642","8:Receptor","8:Receptor"
"2643","8:Receptor","8:Receptor"
"2644","8:Receptor","8:Receptor"
"2645","2:Carcinom","2:Carcinom"
"2646","10:Tomogra","10:Tomogra"
"2647","4:In-Vitro","4:In-Vitro"
"2648","6:Pregnanc","6:Pregnanc"
"2649","4:In-Vitro","4:In-Vitro"
"2650","9:Risk-Fac","7:Prognosi"
"2651","6:Pregnanc","6:Pregnanc"
"2652","2:Carcinom","10:Tomogra"
"2653","1:Antibodi","8:Receptor"
"2654","9:Risk-Fac","8:Receptor"
"2655","6:Pregnanc","6:Pregnanc"
"2656","8:Receptor","8:Receptor"
"2657","4:In-Vitro","4:In-Vitro"
"2658","9:Risk-Fac","9:Risk-Fac"
"2659","4:In-Vitro","5:Molecula"
"2660","1:Antibodi","1:Antibodi"
"2661","6:Pregnanc","6:Pregnanc"
"2662","10:Tomogra","10:Tomogra"
"2663","4:In-Vitro","4:In-Vitro"
"2664","6:Pregnanc","6:Pregnanc"
"2665","7:Prognosi","7:Prognosi"
"2666","7:Prognosi","7:Prognosi"
"2667","3:DNA","3:DNA"
"2668","6:Pregnanc","6:Pregnanc"
"2669","6:Pregnanc","6:Pregnanc"
"2670","7:Prognosi","9:Risk-Fac"
"2671","2:Carcinom","1:Antibodi"
"2672","6:Pregnanc","9:Risk-Fac"
"2673","9:Risk-Fac","7:Prognosi"
"2674","5:Molecula","5:Molecula"
"2675","7:Prognosi","7:Prognosi"
"2676","6:Pregnanc","1:Antibodi"
"2677","4:In-Vitro","4:In-Vitro"
"2678","3:DNA","4:In-Vitro"
"2679","7:Prognosi","10:Tomogra"
"2680","9:Risk-Fac","9:Risk-Fac"
"2681","6:Pregnanc","7:Prognosi"
"2682","10:Tomogra","10:Tomogra"
"2683","10:Tomogra","10:Tomogra"
"2684","2:Carcinom","2:Carcinom"
"2685","4:In-Vitro","9:Risk-Fac"
"2686","9:Risk-Fac","9:Risk-Fac"
"2687","1:Antibodi","1:Antibodi"
"2688","6:Pregnanc","6:Pregnanc"
"2689","6:Pregnanc","6:Pregnanc"
"2690","2:Carcinom","1:Antibodi"
"2691","9:Risk-Fac","9:Risk-Fac"
"2692","4:In-Vitro","8:Receptor"
"2693","9:Risk-Fac","9:Risk-Fac"
"2694","10:Tomogra","10:Tomogra"
"2695","7:Prognosi","10:Tomogra"
"2696","4:In-Vitro","4:In-Vitro"
"2697","7:Prognosi","2:Carcinom"
"2698","4:In-Vitro","4:In-Vitro"
"2699","10:Tomogra","10:Tomogra"
"2700","9:Risk-Fac","9:Risk-Fac"
"2701","9:Risk-Fac","9:Risk-Fac"
"2702","1:Antibodi","5:Molecula"
"2703","1:Antibodi","1:Antibodi"
"2704","7:Prognosi","2:Carcinom"
"2705","5:Molecula","5:Molecula"
"2706","9:Risk-Fac","9:Risk-Fac"
"2707","7:Prognosi","7:Prognosi"
"2708","3:DNA","3:DNA"
"2709","7:Prognosi","7:Prognosi"
"2710","10:Tomogra","10:Tomogra"
"2711","1:Antibodi","1:Antibodi"
"2712","10:Tomogra","8:Receptor"
"2713","6:Pregnanc","6:Pregnanc"
"2714","8:Receptor","8:Receptor"
"2715","7:Prognosi","9:Risk-Fac"
"2716","6:Pregnanc","7:Prognosi"
"2717","8:Receptor","8:Receptor"
"2718","4:In-Vitro","4:In-Vitro"
"2719","6:Pregnanc","9:Risk-Fac"
"2720","10:Tomogra","10:Tomogra"
"2721","10:Tomogra","10:Tomogra"
"2722","3:DNA","1:Antibodi"
"2723","10:Tomogra","10:Tomogra"
"2724","10:Tomogra","4:In-Vitro"
